model,branch,t,N,S,dN/dS,dN,dS,N*dN,S*dS
m0f1,9_1,0.188,844.9,244.1,1.0000,0.0627,0.0627,53.0,15.3
m0f1,9_2,0.404,844.9,244.1,1.0000,0.1348,0.1348,113.9,32.9
m0f1,9_10,0.125,844.9,244.1,1.0000,0.0416,0.0416,35.2,10.2
m0f1,10_3,0.250,844.9,244.1,1.0000,0.0834,0.0834,70.5,20.4
m0f1,10_11,0.589,844.9,244.1,1.0000,0.1963,0.1963,165.9,47.9
m0f1,11_12,0.330,844.9,244.1,1.0000,0.1099,0.1099,92.9,26.8
m0f1,12_13,0.075,844.9,244.1,1.0000,0.0251,0.0251,21.2,6.1
m0f1,13_14,0.015,844.9,244.1,1.0000,0.0050,0.0050,4.2,1.2
m0f1,14_4,0.031,844.9,244.1,1.0000,0.0103,0.0103,8.7,2.5
m0f1,14_6,0.042,844.9,244.1,1.0000,0.0141,0.0141,11.9,3.4
m0f1,13_5,0.052,844.9,244.1,1.0000,0.0175,0.0175,14.7,4.3
m0f1,12_7,0.316,844.9,244.1,1.0000,0.1054,0.1054,89.1,25.7
m0f1,11_8,0.549,844.9,244.1,1.0000,0.1830,0.1830,154.6,44.7
m0f0,9_1,0.197,851.8,237.2,0.4423,0.0515,0.1164,43.8,27.6
m0f0,9_2,0.414,851.8,237.2,0.4423,0.1083,0.2449,92.3,58.1
m0f0,9_10,0.128,851.8,237.2,0.4423,0.0336,0.0759,28.6,18.0
m0f0,10_3,0.256,851.8,237.2,0.4423,0.0670,0.1514,57.0,35.9
m0f0,10_11,0.621,851.8,237.2,0.4423,0.1623,0.3671,138.3,87.1
m0f0,11_12,0.333,851.8,237.2,0.4423,0.0872,0.1971,74.3,46.8
m0f0,12_13,0.082,851.8,237.2,0.4423,0.0213,0.0482,18.2,11.4
m0f0,13_14,0.015,851.8,237.2,0.4423,0.0039,0.0089,3.4,2.1
m0f0,14_4,0.031,851.8,237.2,0.4423,0.0081,0.0183,6.9,4.4
m0f0,14_6,0.042,851.8,237.2,0.4423,0.0110,0.0249,9.4,5.9
m0f0,13_5,0.053,851.8,237.2,0.4423,0.0137,0.0311,11.7,7.4
m0f0,12_7,0.314,851.8,237.2,0.4423,0.0820,0.1854,69.8,44.0
m0f0,11_8,0.574,851.8,237.2,0.4423,0.1501,0.3395,127.9,80.5
m1f0,9_1,0.196,851.7,237.3,0.4316,0.0509,0.1178,43.3,28.0
m1f0,9_2,0.413,851.7,237.3,0.4604,0.1096,0.2381,93.4,56.5
m1f0,9_10,0.127,851.7,237.3,0.4369,0.0329,0.0754,28.0,17.9
m1f0,10_3,0.271,851.7,237.3,0.2699,0.0569,0.2108,48.4,50.0
m1f0,10_11,0.627,851.7,237.3,0.4168,0.1602,0.3844,136.5,91.2
m1f0,11_12,0.340,851.7,237.3,0.3947,0.0850,0.2154,72.4,51.1
m1f0,12_13,0.069,851.7,237.3,999.0000,0.0296,0.0000,25.2,0.0
m1f0,13_14,0.016,851.7,237.3,0.4913,0.0042,0.0086,3.6,2.0
m1f0,14_4,0.031,851.7,237.3,0.2461,0.0063,0.0256,5.4,6.1
m1f0,14_6,0.042,851.7,237.3,0.7312,0.0129,0.0176,11.0,4.2
m1f0,13_5,0.051,851.7,237.3,1.0690,0.0173,0.0162,14.7,3.8
m1f0,12_7,0.328,851.7,237.3,0.3491,0.0778,0.2227,66.2,52.8
m1f0,11_8,0.559,851.7,237.3,0.5041,0.1536,0.3046,130.8,72.3



